Country,League,Season,Team name,Team ID
spain,acb,2021-2022,real-madrid,MP6gLUO7
spain,acb,2020-2021,barcelona,EDQLcAfL
spain,acb,2019-2020,saski-baskonia,8zQPdU9R
spain,acb,2018-2019,real-madrid,MP6gLUO7
spain,acb,2017-2018,real-madrid,MP6gLUO7
spain,acb,2016-2017,valencia,6w8lqYGE
spain,acb,2015-2016,real-madrid,MP6gLUO7
spain,acb,2014-2015,real-madrid,MP6gLUO7
spain,acb,2013-2014,barcelona,EDQLcAfL
spain,acb,2012-2013,real-madrid,MP6gLUO7
spain,acb,2011-2012,barcelona,EDQLcAfL
spain,acb,2010-2011,barcelona,EDQLcAfL
spain,acb,2009-2010,saski-baskonia,8zQPdU9R
spain,acb,2008-2009,barcelona,EDQLcAfL
spain,acb,2007-2008,saski-baskonia,8zQPdU9R
spain,acb,2006-2007,real-madrid,MP6gLUO7
spain,acb,2005-2006,unicaja,K6HkdCoR
spain,acb,2004-2005,real-madrid,MP6gLUO7
spain,acb,2003-2004,barcelona,EDQLcAfL
spain,acb,2002-2003,barcelona,EDQLcAfL
spain,acb,2001-2002,saski-baskonia,8zQPdU9R
