EventTimeUTC;EventTimeUTC;homeTeam;awayTeam;matchId
1681574400;15.04.2023-18:00;Fuenlabrada;Bilbao;g_3_WO8NO8Qd
1681574400;15.04.2023-18:00;Unicaja;Obradoiro CAB;g_3_UJUv0Pmd
1681584300;15.04.2023-20:45;Gran Canaria;Breogan;g_3_xMBVMne9
1681584300;15.04.2023-20:45;Joventut Badalona;Basquet Girona;g_3_raCRNSu3
1681641000;16.04.2023-12:30;Murcia;Basket Zaragoza;g_3_GCAZL6AF
1681642800;16.04.2023-13:00;Tenerife;Baskonia;g_3_Ym5vLQPL
1681657200;16.04.2023-17:00;Manresa;Granada;g_3_Cv4rKpuS
1681662600;16.04.2023-18:30;Barcelona;Real Madrid;g_3_2Tz082b6
1681668000;16.04.2023-20:00;Valencia;Real Betis;g_3_K4V47MDC
1681923600;19.04.2023-19:00;Baskonia;Obradoiro CAB;g_3_4xqNC2X1
1681923600;19.04.2023-19:00;Bilbao;Tenerife;g_3_QopJDrIe
1681927200;19.04.2023-20:00;Real Madrid;Basquet Girona;g_3_UJjAF4mq
1681932600;19.04.2023-21:30;Granada;Barcelona;g_3_Ign4ynA2
1681932600;19.04.2023-21:30;Murcia;Valencia;g_3_dpo8z6P8
1682010000;20.04.2023-19:00;Real Betis;Fuenlabrada;g_3_v9zDZPvF
1682015400;20.04.2023-20:30;Breogan;Unicaja;g_3_jo3tIc9s
1682019000;20.04.2023-21:30;Basket Zaragoza;Manresa;g_3_p82pHHOm
1682179200;22.04.2023-18:00;Basquet Girona;Granada;g_3_Ob1lGyvf
1682189100;22.04.2023-20:45;Barcelona;Gran Canaria;g_3_tzdgFeg0
1682189100;22.04.2023-20:45;Valencia;Bilbao;g_3_KQfcEF86
1682245800;23.04.2023-12:30;Manresa;Murcia;g_3_Emf1DZNC
1682247600;23.04.2023-13:00;Tenerife;Breogan;g_3_QNc5CgwJ
1682262000;23.04.2023-17:00;Basket Zaragoza;Unicaja;g_3_6JzhzcVP
1682262000;23.04.2023-17:00;Obradoiro CAB;Real Betis;g_3_SSylywGJ
1682267400;23.04.2023-18:30;Joventut Badalona;Real Madrid;g_3_bBSJVGws
1682272800;23.04.2023-20:00;Fuenlabrada;Baskonia;g_3_x2RNUzgm
1682784000;29.04.2023-18:00;Granada;Tenerife;g_3_YTKWSENa
1682784000;29.04.2023-18:00;Murcia;Fuenlabrada;g_3_KQGSTf8g
1682793900;29.04.2023-20:45;Bilbao;Manresa;g_3_6sJvRhhC
1682793900;29.04.2023-20:45;Valencia;Obradoiro CAB;g_3_SjKzSYx6
1682850600;30.04.2023-12:30;Real Madrid;Basket Zaragoza;g_3_ngzxQC7I
1682852400;30.04.2023-13:00;Gran Canaria;Basquet Girona;g_3_QqZuPWMO
