numberPlayer,namePlayer,playerId,Starter,MatchId
11,Diez D.,KOCb0Tzg,Starter,jTVz15Yk
23,Enoch S.,bLeCXYBp,Starter,jTVz15Yk
1,Heidegger M.,KMIU5C49,Starter,jTVz15Yk
0,Howard M.,xUarr8mb,Starter,jTVz15Yk
2,Raieste S.,xh9pUkBn,Starter,jTVz15Yk
23,Geben M.,jm9NhApr,Starter,jTVz15Yk
3,Harding J.,riOas1WP,Starter,jTVz15Yk
55,Perez D.,WSagtysr,Starter,jTVz15Yk
00,Robinson D.,KE7Z4LcG,Starter,jTVz15Yk
13,Sagnia M.,xMLJ2LbR,Starter,jTVz15Yk
24,Costello M.,bacFCeC8,Substitute,jTVz15Yk
31,Giedraitis R.,6NgZ86t8,Substitute,jTVz15Yk
21,Kotsar M.,hKXDZBmP,Substitute,jTVz15Yk
47,Kurucs A.,tQNxqPm5,Substitute,jTVz15Yk
9,Marinkovic V.,6PS5pNL2,Substitute,jTVz15Yk
13,Thompson D.,G6vjnxhp,Substitute,jTVz15Yk
0,Badio B.,nNezr6cT,Substitute,jTVz15Yk
6,Garcia D.,j7zRmlV0,Substitute,jTVz15Yk
5,Jou Coll G.,b7kxMvNp,Substitute,jTVz15Yk
21,Olumuyiwa B.,WOP661cb,Substitute,jTVz15Yk
12,Steinbergs M.,SQuAt4dP,Substitute,jTVz15Yk
22,Vaulet J.,M1nqr5o3,Substitute,jTVz15Yk
1,Waczynski A.,StEqStwD,Substitute,jTVz15Yk
,Penarroya J.,xfMV9P2h,Substitute,jTVz15Yk
,Martinez Sanchez P.,48E7Ncxt,Substitute,jTVz15Yk
