Player,Player_Id,Team,Pts,Reb,Ast,Min,Fgm,Fga,2pm,2pa,3pm,3pa,Ftm,Fta,+/-,or,dr,pf,st,to,bs,ba,tfs,game_id,team_number
Harding J.,riOas1WP,MAN,15,1,-,20:23,-,-,3,6,2,2,3,3,-24,-,1,2,-,1,-,-,-,p82pHHOm,2
Vaulet J.,M1nqr5o3,MAN,12,3,2,16:03,-,-,6,8,-,4,-,2,-5,1,2,2,-,3,1,-,-,p82pHHOm,2
Ferrari F.,KrcCF12j,MAN,9,2,3,09:52,-,-,3,4,1,4,-,-,3,-,2,2,-,1,-,-,-,p82pHHOm,2
Perez D.,WSagtysr,MAN,9,2,5,15:37,-,-,-,4,3,6,-,-,-10,2,-,1,1,2,-,-,-,p82pHHOm,2
Steinbergs M.,SQuAt4dP,MAN,6,2,-,10:20,-,-,3,3,-,1,-,-,-5,1,1,1,-,1,-,-,-,p82pHHOm,2
Badio B.,nNezr6cT,MAN,5,4,1,21:28,-,-,1,1,1,2,-,-,2,1,3,1,2,1,1,-,-,p82pHHOm,2
Garcia D.,j7zRmlV0,MAN,5,-,2,12:19,-,-,1,2,1,2,-,-,-12,-,-,2,-,-,-,-,-,p82pHHOm,2
Robinson D.,KE7Z4LcG,MAN,5,2,-,21:45,-,-,1,6,1,4,-,-,-14,-,2,3,1,5,-,-,-,p82pHHOm,2
Geben M.,jm9NhApr,MAN,4,4,-,14:51,-,-,2,3,-,-,-,-,-6,2,2,3,-,3,1,-,-,p82pHHOm,2
Jou Coll G.,b7kxMvNp,MAN,4,7,1,20:38,-,-,1,1,-,2,2,2,-5,1,6,2,1,-,-,-,-,p82pHHOm,2
Olumuyiwa B.,WOP661cb,MAN,2,1,-,12:37,-,-,1,1,-,-,-,-,-8,-,1,3,-,-,-,-,-,p82pHHOm,2
Waczynski A.,StEqStwD,MAN,2,4,-,13:07,-,-,1,3,-,4,-,-,-11,1,3,4,1,1,-,-,-,p82pHHOm,2
