"namePlayer,ids"
doornekamp-aaron,vTsVATcS
shermadini-giorgi,d2NaKecr
robinson-devin,KE7Z4LcG
garcia-dani,j7zRmlV0
huertas-marcelo,6ZXvLgvp
abromaitis-tim,MLAJIYnk
bolmaro-leandro,OQhdGy62
ferrari-frankie,KrcCF12j
salin-sasu,42oW2uEi
geben-martinas,jm9NhApr
waczynski-adam,StEqStwD
cook-elgin,4KKgjNXa
guerra-fran,GWsReuE3
olumuyiwa-babatunde,WOP661cb
perez-dani,WSagtysr
vaulet-juan,M1nqr5o3
badio-brancou,nNezr6cT
harding-jerrick,riOas1WP
jou-coll-guilliem,b7kxMvNp
steinbergs-marcis,SQuAt4dP
fernandez-jaime,t4tFyDeD
fitipaldo-bruno,OAhUo1US
diagne-moussa,tOz2GgJ5
