Name,Home,Away,MatchId,Quarter
Field Goals Attempted,14,14,xMk077eM,1
Field Goals Made,8,5,xMk077eM,1
Field Goals %,57.1%,35.7%,xMk077eM,1
2-Point Field G. Attempted,6,4,xMk077eM,1
2-Point Field Goals Made,4,1,xMk077eM,1
2-Point Field Goals %,66.7%,25%,xMk077eM,1
3-Point Field G. Attempted,8,10,xMk077eM,1
3-Point Field Goals Made,4,4,xMk077eM,1
3-Point Field Goals %,50%,40%,xMk077eM,1
Free Throws Attempted,2,7,xMk077eM,1
Free Throws Made,0,5,xMk077eM,1
Free Throws %,0%,71.4%,xMk077eM,1
Offensive Rebounds,2,2,xMk077eM,1
Defensive Rebounds,8,5,xMk077eM,1
Total Rebounds,10,7,xMk077eM,1
Assists,5,3,xMk077eM,1
Blocks,1,1,xMk077eM,1
Turnovers,6,4,xMk077eM,1
Steals,2,4,xMk077eM,1
Personal Fouls,5,3,xMk077eM,1
