Stat,Home,Away,MatchId
Field Goals Attempted,16,18,CbOSqht1
Field Goals Made,9,8,CbOSqht1
Field Goals %,56.3%,44.4%,CbOSqht1
2-Point Field G. Attempted,10,10,CbOSqht1
2-Point Field Goals Made,6,6,CbOSqht1
2-Point Field Goals %,60%,60%,CbOSqht1
3-Point Field G. Attempted,6,8,CbOSqht1
3-Point Field Goals Made,3,2,CbOSqht1
3-Point Field Goals %,50%,25%,CbOSqht1
Free Throws Attempted,11,2,CbOSqht1
Free Throws Made,11,2,CbOSqht1
Free Throws %,100%,100%,CbOSqht1
Offensive Rebounds,4,3,CbOSqht1
Defensive Rebounds,6,3,CbOSqht1
Total Rebounds,10,6,CbOSqht1
Assists,7,5,CbOSqht1
Blocks,1,0,CbOSqht1
Turnovers,2,5,CbOSqht1
Steals,2,1,CbOSqht1
Personal Fouls,5,9,CbOSqht1
