Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away;MatchId;Country;Competition
1682262000;23.04.2023-17:00;Pau-Orthez;JL Bourg;16;31;12;28;;14;26;19;20;;g_3_niqcA953;france;lnb
1682254800;23.04.2023-15:00;Fos-sur-Mer;Strasbourg;21;18;25;23;;23;16;16;10;;g_3_Y1hmsJog;france;lnb
1682013600;20.04.2023-20:00;Monaco;Strasbourg;19;20;23;25;2;29;25;13;20;11;g_3_KMEc6oxJ;france;lnb
1681840800;18.04.2023-20:00;Nancy;Dijon;12;21;23;22;;27;18;25;21;;g_3_Ojo0vHVB;france;lnb
1681657200;16.04.2023-17:00;Lyon-Villeurbanne;Le Portel;18;20;30;18;;20;16;16;16;;g_3_0zmKNn7g;france;lnb
1681657200;16.04.2023-17:00;Monaco;Fos-sur-Mer;24;22;29;23;;20;26;13;24;;g_3_vRoOM6Ma;france;lnb
1681581600;15.04.2023-20:00;Ada Blois;Le Mans;12;23;22;15;;21;16;17;14;;g_3_b5iZhy22;france;lnb
1681581600;15.04.2023-20:00;Gravelines-Dunkerque;Pau-Orthez;18;24;20;8;;10;15;19;14;;g_3_bXsM8dUb;france;lnb
1681581600;15.04.2023-20:00;JL Bourg;Nanterre;23;27;27;16;;19;17;21;24;;g_3_WIksiFWE;france;lnb
1681581600;15.04.2023-20:00;Limoges;Boulogne-Levallois;14;22;26;22;;21;26;15;21;;g_3_xdjwheH8;france;lnb
1681581600;15.04.2023-20:00;Paris;Nancy;19;27;31;22;;33;18;20;20;;g_3_Spqjkg1R;france;lnb
1681581600;15.04.2023-20:00;Strasbourg;Dijon;17;27;30;19;;20;23;17;15;;g_3_UgVHpD9r;france;lnb
1681408800;13.04.2023-20:00;Cholet;Roanne;18;24;19;20;;19;19;18;18;;g_3_pMgojZoL;france;lnb
1681322400;12.04.2023-20:00;Dijon;Monaco;15;15;12;23;;22;19;23;16;;g_3_xKYPrive;france;lnb
1681322400;12.04.2023-20:00;Le Mans;Limoges;16;25;15;21;;18;16;17;20;;g_3_6FjeucG5;france;lnb
1681052400;09.04.2023-17:00;Gravelines-Dunkerque;Lyon-Villeurbanne;15;22;17;20;;15;22;12;19;;g_3_6DmGOSim;france;lnb
1681052400;09.04.2023-17:00;Paris;Limoges;27;26;12;23;;19;7;27;28;;g_3_Ig0doPrd;france;lnb
