Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away;MatchId;Country;Competition
1681752600;17.04.2023-19:30;Anadolu Efes;Besiktas;24;19;34;27;;24;23;26;15;;g_3_On5l12P6;turkey;super-lig
1681666200;16.04.2023-19:30;Bursaspor;Konyaspor;25;15;19;15;;14;11;19;19;;g_3_CC1p2rA0;turkey;super-lig
1681657200;16.04.2023-17:00;Turk Telekom;Fenerbahce;27;18;20;18;;19;21;17;15;;g_3_Ik2t3Off;turkey;super-lig
1681648200;16.04.2023-14:30;Darussafaka;Manisa;24;31;23;17;;19;22;16;27;;g_3_va3x44ul;turkey;super-lig
1681639200;16.04.2023-12:00;Merkezefendi;Tofas;17;23;18;19;11;17;26;11;23;18;g_3_MN8X4pQs;turkey;super-lig
1681570800;15.04.2023-17:00;Gaziantep;Galatasaray;27;21;15;33;;14;17;27;20;;g_3_KEM59QHQ;turkey;super-lig
1681561800;15.04.2023-14:30;Petkim Spor;Pinar Karsiyaka;20;28;16;26;;18;21;15;31;;g_3_QiN1A62K;turkey;super-lig
1681552800;15.04.2023-12:00;Bahcesehir Kol.;Buyukcekmece;28;19;21;24;;19;23;18;17;;g_3_ClJcBnmE;turkey;super-lig
1681061400;09.04.2023-19:30;Galatasaray;Bahcesehir Kol.;21;23;17;22;11;17;22;28;16;18;g_3_MmlWCsWO;turkey;super-lig
1681052400;09.04.2023-17:00;Pinar Karsiyaka;Anadolu Efes;16;31;30;21;;28;19;21;15;;g_3_rckSDNGI;turkey;super-lig
1681043400;09.04.2023-14:30;Fenerbahce;Gaziantep;33;20;23;24;;12;12;12;14;;g_3_2oYUE31C;turkey;super-lig
1681034400;09.04.2023-12:00;Manisa;Petkim Spor;33;10;22;21;;10;20;24;24;;g_3_OfZQFqn6;turkey;super-lig
1680966000;08.04.2023-17:00;Besiktas;Merkezefendi;16;18;16;20;;19;10;17;13;;g_3_UXZMGPWa;turkey;super-lig
1680957000;08.04.2023-14:30;Tofas;Turk Telekom;22;25;27;17;;22;25;19;28;;g_3_GUVIH5Hg;turkey;super-lig
1680948000;08.04.2023-12:00;Konyaspor;Darussafaka;27;25;12;19;;15;24;17;17;;g_3_Y5tEIo2m;turkey;super-lig
1680888600;07.04.2023-19:30;Buyukcekmece;Bursaspor;16;25;26;18;;19;26;20;22;;g_3_fFsAJRns;turkey;super-lig
1680543000;03.04.2023-19:30;Fenerbahce;Galatasaray;24;23;16;23;;13;12;20;19;;g_3_S6EtyfIE;turkey;super-lig
1680534000;03.04.2023-17:00;Darussafaka;Buyukcekmece;27;14;33;18;;23;21;14;23;;g_3_lGFxxz38;turkey;super-lig
1680447600;02.04.2023-17:00;Gaziantep;Tofas;21;13;19;24;;14;17;24;28;;g_3_nByfDjQ7;turkey;super-lig
1680438600;02.04.2023-14:30;Anadolu Efes;Manisa;14;24;22;18;;20;21;18;10;;g_3_lQIjEWA1;turkey;super-lig
1680429600;02.04.2023-12:00;Petkim Spor;Konyaspor;22;28;25;21;;19;20;21;25;;g_3_f3JnFCee;turkey;super-lig
1680361200;01.04.2023-17:00;Merkezefendi;Pinar Karsiyaka;12;22;21;21;11;22;16;12;26;18;g_3_GCKrGhtk;turkey;super-lig
1680352200;01.04.2023-14:30;Bursaspor;Bahcesehir Kol.;18;16;22;25;;26;22;21;18;;g_3_byQwHYQr;turkey;super-lig
1680343200;01.04.2023-12:00;Turk Telekom;Besiktas;26;23;13;17;;19;15;11;22;;g_3_dSwCLEIR;turkey;super-lig
1679932800;27.03.2023-18:00;Bahcesehir Kol.;Darussafaka;18;18;18;17;11;23;16;16;16;18;g_3_SxJ5A0hb;turkey;super-lig
1679842800;26.03.2023-17:00;Tofas;Fenerbahce;23;24;18;29;;24;15;18;32;;g_3_Madvfu8H;turkey;super-lig
1679833800;26.03.2023-14:30;Pinar Karsiyaka;Turk Telekom;13;18;21;25;;23;25;23;14;;g_3_YwQdCMNo;turkey;super-lig
1679824800;26.03.2023-12:00;Buyukcekmece;Petkim Spor;17;23;23;26;;23;15;18;17;;g_3_SxczeLhB;turkey;super-lig
1679765400;25.03.2023-18:30;Galatasaray;Bursaspor;18;32;19;22;;20;15;17;28;;g_3_EZhWe1w5;turkey;super-lig
1679756400;25.03.2023-16:00;Besiktas;Gaziantep;25;26;25;31;;16;12;29;17;;g_3_WA3RdsOb;turkey;super-lig
1679747400;25.03.2023-13:30;Konyaspor;Anadolu Efes;21;13;19;30;;23;25;19;32;;g_3_hK4NcN8h;turkey;super-lig
1679738400;25.03.2023-11:00;Manisa;Merkezefendi;23;19;28;20;;20;21;18;16;;g_3_pf5Jb3gn;turkey;super-lig
1679238000;19.03.2023-16:00;Darussafaka;Bursaspor;24;20;26;28;;17;28;23;24;;g_3_636Faqvt;turkey;super-lig
1679229000;19.03.2023-13:30;Anadolu Efes;Buyukcekmece;31;30;20;16;;30;25;18;25;;g_3_ttu9v08U;turkey;super-lig
1679220000;19.03.2023-11:00;Turk Telekom;Manisa;19;19;35;25;;20;26;20;18;;g_3_Sxy5utgO;turkey;super-lig
1679160600;18.03.2023-18:30;Fenerbahce;Besiktas;25;21;26;23;;17;21;26;16;;g_3_YFy1tMwI;turkey;super-lig
1679151600;18.03.2023-16:00;Tofas;Galatasaray;23;22;7;29;;27;11;30;15;;g_3_fPxcs2OB;turkey;super-lig
1679142600;18.03.2023-13:30;Gaziantep;Pinar Karsiyaka;29;12;13;23;;28;19;17;20;;g_3_xlrhrr95;turkey;super-lig
1679133600;18.03.2023-11:00;Petkim Spor;Bahcesehir Kol.;20;16;20;21;;19;11;19;20;;g_3_bcqlqOga;turkey;super-lig
1679068800;17.03.2023-17:00;Merkezefendi;Konyaspor;20;18;23;30;;20;20;18;26;;g_3_4zppp4vg;turkey;super-lig
1678723200;13.03.2023-17:00;Pinar Karsiyaka;Fenerbahce;22;24;27;29;;21;27;21;29;;g_3_CW1TBd8m;turkey;super-lig
1678633200;12.03.2023-16:00;Bahcesehir Kol.;Anadolu Efes;20;13;10;19;;19;19;19;16;;g_3_Yu3PCxgs;turkey;super-lig
1678624200;12.03.2023-13:30;Galatasaray;Darussafaka;4;23;20;24;;19;13;16;17;;g_3_G0GcHIpQ;turkey;super-lig
1678615200;12.03.2023-11:00;Buyukcekmece;Merkezefendi;27;20;22;20;;26;11;29;15;;g_3_4QCgIbVJ;turkey;super-lig
1678546800;11.03.2023-16:00;Bursaspor;Petkim Spor;17;21;32;22;;23;15;23;24;;g_3_2LYAgFhJ;turkey;super-lig
1678537800;11.03.2023-13:30;Besiktas;Tofas;24;24;27;30;;30;18;16;21;;g_3_OUZ6fewD;turkey;super-lig
1678528800;11.03.2023-11:00;Manisa;Gaziantep;22;14;21;12;;17;17;10;21;;g_3_feV2eyO6;turkey;super-lig
1678464000;10.03.2023-17:00;Konyaspor;Turk Telekom;20;13;22;20;;22;26;14;22;;g_3_G4WbdH80;turkey;super-lig
1678028400;05.03.2023-16:00;Fenerbahce;Manisa;26;25;18;23;;19;24;17;18;;g_3_CInkuAyj;turkey;super-lig
1678019400;05.03.2023-13:30;Anadolu Efes;Bursaspor;22;17;23;20;;17;12;14;20;;g_3_pdGhtjMq;turkey;super-lig
1678010400;05.03.2023-11:00;Tofas;Pinar Karsiyaka;21;21;19;20;;19;29;21;17;;g_3_zNQInhqG;turkey;super-lig
1677951000;04.03.2023-18:30;Besiktas;Galatasaray;19;15;33;18;;17;20;20;21;;g_3_lQUMoCbM;turkey;super-lig
1677942000;04.03.2023-16:00;Petkim Spor;Darussafaka;22;15;23;14;11;18;23;17;16;18;g_3_E7xAlEE3;turkey;super-lig
1677933000;04.03.2023-13:30;Merkezefendi;Bahcesehir Kol.;18;28;15;19;;20;18;21;17;;g_3_hbyEmYT9;turkey;super-lig
1677924000;04.03.2023-11:00;Gaziantep;Konyaspor;19;21;23;22;;20;27;23;11;;g_3_rmUQpWDS;turkey;super-lig
1677859200;03.03.2023-17:00;Turk Telekom;Buyukcekmece;10;20;24;28;;25;20;15;6;;g_3_pYX5kfac;turkey;super-lig
1675618200;05.02.2023-18:30;Darussafaka;Anadolu Efes;24;19;19;18;;13;20;24;26;;g_3_6sZ1jzpi;turkey;super-lig
1675609200;05.02.2023-16:00;Bursaspor;Merkezefendi;26;18;21;30;;12;21;21;19;;g_3_4xeJRj7j;turkey;super-lig
1675600200;05.02.2023-13:30;Konyaspor;Fenerbahce;13;9;21;18;;13;19;19;11;;g_3_h2iFSWip;turkey;super-lig
1675591200;05.02.2023-11:00;Buyukcekmece;Gaziantep;20;25;6;20;;18;24;15;11;;g_3_zN4mXCqT;turkey;super-lig
