name_team,match_games,wins,loses,totalPoints,teamId,teamName
Turk Telekom,25,22,3,2165:1924,47,xzhkYoHf,turk-telekom
Fenerbahce,25,20,5,2162:1925,45,rDhoZR1l,fenerbahce
Pinar Karsiyaka,25,18,7,2223:2133,43,4phclwNB,pinar-karsiyaka
Anadolu Efes,25,18,7,2192:1998,43,ny4KlAOf,anadolu-efes
Bursaspor,25,15,10,2068:2010,40,O2jT8AmT,bursaspor-durmazlar
Darussafaka,25,13,12,2046:2085,38,ATi7i18t,darussafaka
Galatasaray,25,11,14,1987:2023,36,QR2OmUw1,galatasaray
Tofas,25,10,15,2048:2057,35,ljIF1MyG,tofas
Bahcesehir Kol.,25,10,15,1911:1966,35,AJURGI1d,bahcesehir-koleji
Manisa,25,10,15,1921:2070,35,pbAAjuKU,manisa-buyuksehri
Petkim Spor,25,10,15,1963:2068,35,bP2InIvD,petkim-spor
Buyukcekmece,25,10,15,1982:2057,35,8dyPMmPT,buyukcekmece
Merkezefendi,25,10,15,2023:2121,35,fXRk4JY5,merkezefendi
Besiktas,25,8,17,1997:2050,33,hE4Gkj9l,besiktas
Gaziantep,25,8,17,1873:1964,33,dKOmw95e,gaziantep-bb
Konyaspor,25,7,18,1962:2072,32,QPqq3exI,konyaspor
