"namePlayer, team, pts, reb, ast, mins, fgm, fga, two_pm,two_pa, three_pm, three_pa, ftm, fta, valoracion, offensiverebounds,deffensiverebounds, personalFours, steals, turnovers,blockedShot, blockedAgains, technicalFouls, playerId, matchId "
Doornekamp A.,TEN,21,5,1,21:25,-,-,1,1,6,10,1,1,32,2,3,3,-,1,-,-,-,vTsVATcS,CbOSqht1
Shermadini G.,TEN,21,6,2,23:39,-,-,5,8,-,-,11,11,7,2,4,2,-,1,-,-,-,d2NaKecr,CbOSqht1
Robinson D.,MAN,12,6,1,24:59,-,-,6,11,-,1,-,-,-16,1,5,1,-,-,-,-,-,KE7Z4LcG,CbOSqht1
Garcia D.,MAN,11,-,6,16:16,-,-,1,2,3,4,-,-,1,-,-,3,-,2,-,-,-,j7zRmlV0,CbOSqht1
Huertas M.,TEN,11,3,10,21:53,-,-,4,6,-,-,3,4,7,1,2,-,-,1,-,-,-,6ZXvLgvp,CbOSqht1
Abromaitis T.,TEN,10,6,-,21:50,-,-,2,4,1,2,3,3,-15,2,4,1,-,-,-,-,-,MLAJIYnk,CbOSqht1
Bolmaro L.,TEN,10,1,-,13:17,-,-,2,3,1,3,3,3,-1,-,1,3,-,1,-,-,-,OQhdGy62,CbOSqht1
Ferrari F.,MAN,10,2,4,13:19,-,-,2,6,2,4,-,-,-,1,1,2,-,1,-,-,-,KrcCF12j,CbOSqht1
Salin S.,TEN,10,2,1,25:03,-,-,1,1,2,9,2,2,16,-,2,1,1,-,-,-,-,42oW2uEi,CbOSqht1
Geben M.,MAN,9,6,1,19:07,-,-,3,6,1,2,-,-,-10,1,5,3,-,-,-,1,-,jm9NhApr,CbOSqht1
Waczynski A.,MAN,8,2,-,15:15,-,-,-,-,2,5,2,3,1,2,-,4,-,-,-,-,-,StEqStwD,CbOSqht1
Cook E.,TEN,7,7,1,20:15,-,-,1,2,1,3,2,2,13,3,4,3,-,3,1,-,-,4KKgjNXa,CbOSqht1
Guerra F.,TEN,6,4,3,13:10,-,-,3,3,-,-,-,-,3,2,2,3,-,1,-,-,-,GWsReuE3,CbOSqht1
Olumuyiwa B.,MAN,6,4,-,13:19,-,-,2,5,-,-,2,2,-6,4,-,2,-,1,-,-,-,WOP661cb,CbOSqht1
Perez D.,MAN,6,2,3,15:57,-,-,1,3,-,3,4,4,-14,-,2,2,-,3,-,-,-,WSagtysr,CbOSqht1
Vaulet J.,MAN,6,3,2,15:01,-,-,3,4,-,1,-,-,3,3,-,1,-,1,-,-,-,M1nqr5o3,CbOSqht1
Badio B.,MAN,5,1,1,16:00,-,-,1,1,1,3,-,-,-6,-,1,1,-,-,1,-,-,nNezr6cT,CbOSqht1
Harding J.,MAN,5,4,-,23:18,-,-,1,8,1,2,-,-,-10,1,3,2,3,-,1,-,-,riOas1WP,CbOSqht1
Jou Coll G.,MAN,5,4,-,19:55,-,-,1,1,1,2,-,-,-11,2,2,3,-,-,-,-,-,b7kxMvNp,CbOSqht1
Steinbergs M.,MAN,4,1,-,07:34,-,-,-,-,1,1,1,4,3,1,-,2,-,1,-,-,-,SQuAt4dP,CbOSqht1
Fernandez J.,TEN,2,-,1,12:18,-,-,-,1,-,4,2,2,-8,-,-,1,2,2,-,1,-,t4tFyDeD,CbOSqht1
Fitipaldo B.,TEN,2,-,3,23:59,-,-,-,2,-,2,2,2,8,-,-,3,1,2,-,1,-,OAhUo1US,CbOSqht1
Diagne M.,TEN,-,-,-,03:11,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,tOz2GgJ5,CbOSqht1
