ID,Name,Link,Stat1,Stat2,Stat3,Stat4,Stat5,Stat6,Stat7,Stat8,Stat9,Stat10,Stat11,Stat12,Stat13,Stat14
lf5GoNYu,Taylor K.,22,3,2,28:34,-,-,8,10,1,4,-,-,15
OKNYuHS0,Renfroe A.,17,3,4,29:15,-,-,3,5,1,2,8,10,-10
lxGLvWwM,Colom Q.,15,3,5,28:06,-,-,2,6,3,5,2,3,6
ARjbtzC3,Fjellerup M.,14,5,3,25:33,-,-,2,7,2,3,4,4,7
48H9BkX9,Costa Martinez L.,13,3,2,23:08,-,-,4,9,1,6,2,2,-16
xhs6kDGa,Bropleh T.,12,2,3,29:05,-,-,3,5,2,8,-,-,-14
nDvPlvnc,Caicedo M.,10,1,1,16:50,-,-,-,1,2,3,4,4,-11
nT5p0N57,Prkacin R.,9,4,1,11:29,-,-,4,7,-,-,1,1,7
8MEWqtDg,Tomas P.,7,2,-,20:45,-,-,2,3,-,2,-,-,-1
EyPgXmOE,Diaz J.,6,1,1,21:19,-,-,3,4,-,-,-,-,6
4lhXmFaQ,Diaz Rodriguez C.,6,1,-,7:04,-,-,2,4,-,-,2,2,2
EVrsm6Qd,Sorolla Menasanch J.,6,2,1,13:08,-,-,3,4,-,-,-,-,10
MguO5p8E,Hanzlik O.,5,1,1,7:54,-,-,1,1,1,4,-,-,7
Ee7KaSGO,Miletic D.,5,3,-,18:31,-,-,2,2,-,1,1,2,-7
EuneP2Yk,Vila Martinez E.,5,2,2,10:00,-,-,1,1,-,-,3,4,14
b7mURXx7,Figueras P.,4,2,4,11:54,-,-,2,2,-,1,-,-,8
AVMsbgY5,Gasol M.,4,5,5,26:52,-,-,2,4,-,2,-,-,4
WE28ilij,Niang M.,4,8,-,27:26,-,-,2,4,-,-,-,2,-7
UmP5mMVq,Garino P.,3,1,1,12:06,-,-,-,1,-,2,3,4,6
CKUVUGOF,Moore M.,3,5,-,12:34,-,-,-,-,1,1,-,-,-12
EeZh4gkf,Hill J.,-,1,-,5:53,-,-,-,-,-,1,-,-,-7
4UHKIgtJ,Ndoye Y.,-,2,-,12:34,-,-,-,3,-,-,-,-,-7
