team_name,team_id
saski-baskonia,8zQPdU9R
saski-baskonia,8zQPdU9R
real-madrid,MP6gLUO7
real-madrid,MP6gLUO7
barcelona,EDQLcAfL
barcelona,EDQLcAfL
tenerife,OfgZ0mtF
tenerife,OfgZ0mtF
unicaja,K6HkdCoR
unicaja,K6HkdCoR
joventut-badalona,Sn9ppE18
joventut-badalona,Sn9ppE18
gran-canaria,QmfIiWgr
gran-canaria,QmfIiWgr
valencia,6w8lqYGE
valencia,6w8lqYGE
rio-breogan,tW3U1TQ8
rio-breogan,tW3U1TQ8
obradoiro-cab,YRPggwMM
obradoiro-cab,YRPggwMM
bilbao,GWZ15Sne
bilbao,GWZ15Sne
zaragoza,SGiReo1g
zaragoza,SGiReo1g
murcia,Sju1Skf8
murcia,Sju1Skf8
basquet-girona,tAgGT8ak
basquet-girona,tAgGT8ak
fundacion-granada,AgZ54n21
fundacion-granada,AgZ54n21
manresa,KAm6vlvR
manresa,KAm6vlvR
real-betis,MTxA36H7
real-betis,MTxA36H7
fuenlabrada,E1z0hlIr
fuenlabrada,E1z0hlIr
