Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away
1679848200;26.03.2023-18:30;Iraurgi SB;Gipuzkoa;18;19;26;14;;23;28;17;21;
1679846400;26.03.2023-18:00;Estudiantes;Alicante;25;14;13;18;;21;15;19;10;
1679824800;26.03.2023-12:00;Melilla;Almansa;22;19;24;17;;20;21;13;20;
1679770800;25.03.2023-20:00;San Pablo Burgos;Castello;28;30;15;25;;14;11;9;14;
1679767200;25.03.2023-19:00;Ourense;Real Valladolid;27;10;24;21;;17;15;14;26;
1679688900;24.03.2023-21:15;Forca Lleida;MoraBanc Andorra;29;18;18;23;;14;16;23;27;
1679688000;24.03.2023-21:00;Palencia;Estela;24;25;14;31;;15;21;16;20;
1679687100;24.03.2023-20:45;Caceres;Albacete;19;28;25;15;;31;12;11;22;
1679686200;24.03.2023-20:30;Leyma Coruna;Oviedo;23;22;21;21;;16;14;19;13;
1679223600;19.03.2023-12:00;Gipuzkoa;San Pablo Burgos;23;14;28;19;;5;39;13;22;
1679166000;18.03.2023-20:00;Estela;Caceres;21;26;32;14;;29;20;25;22;
1679164200;18.03.2023-19:30;Albacete;Ourense;16;23;14;13;;22;13;21;18;
1679163300;18.03.2023-19:15;Real Valladolid;Melilla;16;23;17;29;;19;16;14;17;
1679162400;18.03.2023-19:00;Almansa;Leyma Coruna;21;20;27;18;;21;17;23;32;
1679160600;18.03.2023-18:30;MoraBanc Andorra;Iraurgi SB;24;24;22;19;;12;21;12;16;
1679158800;18.03.2023-18:00;Oviedo;Estudiantes;17;18;19;14;;15;17;15;19;
1679082300;17.03.2023-20:45;Castello;Palencia;18;15;27;25;;30;21;14;15;
1679080500;17.03.2023-20:15;Alicante;Forca Lleida;22;18;19;20;;12;20;21;23;
1678640400;12.03.2023-18:00;Iraurgi SB;Alicante;9;16;25;18;;17;12;23;18;
1678636800;12.03.2023-17:00;Estudiantes;Almansa;17;17;17;24;;25;13;21;19;
1678561200;11.03.2023-20:00;San Pablo Burgos;MoraBanc Andorra;19;25;21;8;;14;24;35;22;
1678559400;11.03.2023-19:30;Albacete;Estela;24;14;20;16;;16;16;26;22;
1678557600;11.03.2023-19:00;Ourense;Melilla;20;21;15;18;;11;8;14;21;
1678479300;10.03.2023-21:15;Palencia;Gipuzkoa;19;23;23;20;;17;20;22;15;
1678478400;10.03.2023-21:00;Forca Lleida;Oviedo;15;24;18;19;;25;10;16;14;
1678477500;10.03.2023-20:45;Caceres;Castello;17;15;14;12;;22;9;20;10;
1678476600;10.03.2023-20:30;Leyma Coruna;Real Valladolid;27;21;30;24;;12;16;18;25;
1678037400;05.03.2023-18:30;Oviedo;Iraurgi SB;25;24;18;17;;25;17;11;25;
1678035600;05.03.2023-18:00;Real Valladolid;Estudiantes;21;19;17;24;;20;17;18;20;
1678017600;05.03.2023-13:00;Almansa;Forca Lleida;22;21;15;9;;9;11;21;29;
1678016700;05.03.2023-12:45;Estela;Ourense;15;20;18;22;;11;29;12;17;
1678015800;05.03.2023-12:30;Alicante;San Pablo Burgos;19;13;26;11;;19;18;28;25;
1678014900;05.03.2023-12:15;Castello;Albacete;17;14;29;17;;21;17;13;17;
1678014000;05.03.2023-12:00;Gipuzkoa;Caceres;24;22;23;25;;24;16;18;30;
1678014000;05.03.2023-12:00;Melilla;Leyma Coruna;15;19;21;24;;23;25;21;17;
1677951000;04.03.2023-18:30;MoraBanc Andorra;Palencia;22;17;26;32;;23;20;21;25;
1676748600;18.02.2023-20:30;Estela;Castello;29;21;20;14;;14;14;14;22;
1676746800;18.02.2023-20:00;San Pablo Burgos;Oviedo;15;29;21;24;;14;12;22;16;
1676745000;18.02.2023-19:30;Albacete;Gipuzkoa;10;16;12;18;;28;22;21;8;
1676739600;18.02.2023-18:00;Ourense;Leyma Coruna;20;14;17;19;;24;15;23;18;
