name_team,match_games,wins,loses,totalPoints,teamId,playerId
Baskonia,26,22,4,2382:2136,44,8zQPdU9R,saski-baskonia
Real Madrid,26,21,5,2300:1998,42,MP6gLUO7,real-madrid
Barcelona,26,21,5,2184:1914,42,EDQLcAfL,barcelona
Tenerife,26,18,8,2141:1909,36,OfgZ0mtF,tenerife
Unicaja,26,17,9,2263:2004,34,K6HkdCoR,unicaja
Joventut Badalona,27,17,10,2217:2103,34,Sn9ppE18,joventut-badalona
Gran Canaria,27,16,11,2267:2126,32,QmfIiWgr,gran-canaria
Valencia,26,13,13,2171:2168,26,6w8lqYGE,valencia
Breogan,26,13,13,2050:2060,26,tW3U1TQ8,rio-breogan
Obradoiro CAB,26,12,14,2014:2109,24,YRPggwMM,obradoiro-cab
Bilbao,26,12,14,2001:2082,24,GWZ15Sne,bilbao
Basket Zaragoza,26,10,16,2034:2086,20,SGiReo1g,zaragoza
Murcia,26,10,16,2079:2197,20,Sju1Skf8,murcia
Basquet Girona,26,9,17,1993:2100,18,tAgGT8ak,basquet-girona
Granada,26,8,18,2008:2284,16,AgZ54n21,fundacion-granada
Manresa,26,7,19,2148:2351,14,KAm6vlvR,manresa
Real Betis,26,6,20,1994:2214,12,MTxA36H7,real-betis
Fuenlabrada,26,3,23,1986:2391,6,E1z0hlIr,fuenlabrada
