"namePlayer,ids"
taylor-kameron,lf5GoNYu
jenkins-john,KKbNFR6I
colom-quino,lxGLvWwM
ngouama-medhy,fRKrSe1O
ali-prince,fH25hJ4r
gasol-marc,AVMsbgY5
kromah-lasan,QPy2LG7A
eyenga-christian,4hQyEJe3
vila-martinez-eric,EuneP2Yk
garino-patricio,UmP5mMVq
samar-matija,YqLt8I4I
lewis-malique,6DyHgZx6
miletic-dusan,Ee7KaSGO
prkacin-roko,nT5p0N57
figueras-pol,b7mURXx7
garcia-marc,EJkmWqEU
horton-kenneth,pxPf3AHb
fernandez-juan,0Kqa683o
ehigiator-osas,jPWpG2Ju
fjellerup-maximo,ARjbtzC3
hill-jeremiah,EeZh4gkf
okouo-viny,84Hr3NSp
sorolla-menasanch-jaume,EVrsm6Qd
